asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term
B0DTJ4Q6XG,"ZEBRONICS VITA 102, Wireless Bluetooth Soundbar, 16 Watts, Upto 8 Hours Playback, Powerful Dual Drivers, Dual Passive Radiators, Call Function, RGB LED, TWS | BTv5.3 | USB | AUX | mSD",ZEBRONICS,799,(68% off),3.0,179,Audio,https://www.amazon.in/dp/B0DTJ4Q6XG,bluetooth speakers
B0DQKVF2H4,"Stone Opus, 80W Signature Sound, 12HRS Battery, Multilink Connectivity, Built-in Subwoofer, Premium Design, TWS, Bluetooth Speaker, Wireless Speaker, Portable Speaker (Caramel Brown)",Stone,4299,(83% off),4.1,117,Audio,https://www.amazon.in/dp/B0DQKVF2H4,bluetooth speakers
B0FLYBJB9Z,"Boat Stone 1200 Pro, 60W Boat Signature Sound, 76.2mm Drivers, TWS,7.5H Battery, Built-in Mic, Carry Strap,IPX6, Bluetooth Speaker, Wireless Speaker, Portable Speaker (Ice Grey)",Boat,4999,(67% off),4.2,220,Audio,https://www.amazon.in/dp/B0FLYBJB9Z,bluetooth speakers
B0DHQMRP13,"E GATE C210 | 20W Bluetooth Speaker Soundbar, Dual Drivers + Dual Passive Radiator for Extra bass, RGB Light, Upto 15 Hrs Backup from 2000mah Battery, Call Function, TWS, Aux, USB, FM",E,690,(77% off),3.5,244,Audio,https://www.amazon.in/dp/B0DHQMRP13,bluetooth speakers
B0CVQDJCYL,"Boat Stone Spinx Pro Bluetooth Speaker with 20 W RMS Sound, Up to 8 hrs of Playtime, BTv5.0, Built-in Mic, RGB LEDs, TWS Feature, TF Card, AUX Port & USB Type-C Port(Tropical Blue)",Boat,2399,(76% off),4.1,1.2K,Audio,https://www.amazon.in/dp/B0CVQDJCYL,bluetooth speakers
B0DNQY6C5Y,"Portronics Thunder 2.0 60W Wireless Bluetooth Party Speaker with Dual Passive Radiator, Upto 6 Hours Playtime, Multiple EQ Modes, RGB LED Lights, TWS Mode, Bluetooth 5.3V, Type C Fast Charging(Black)",Portronics,4999,(50% off),4.0,50,Audio,https://www.amazon.in/dp/B0DNQY6C5Y,bluetooth speakers
B0D4XTCY6L,"Beats Pill – Wireless Bluetooth Speaker and Portable Charger via USB-C – Up to 24 Hours Battery Life, IP67 Water Resistant, Apple & Android Compatible, Built-in Microphone – Matt Black",Beats,16900,,4.6,572,Audio,https://www.amazon.in/dp/B0D4XTCY6L,bluetooth speakers
B0F3T4NZ1T,"Portronics Nova 40W Portable Bluetooth Speaker with Dual Passive Radiator, Upto 5 Hours Playtime, RGB LED Lights, Bluetooth 5.3V, TWS Mode, Handsfree Calling, USB/AUX in Port, Type C Charging(Black)",Portronics,2699,(33% off),4.0,241,Audio,https://www.amazon.in/dp/B0F3T4NZ1T,bluetooth speakers
B09RPC4J7K,"Krisons Cylender 4"" Double Woofer 30W Multi-Media Bluetooth Party Speaker with Wired Mic for Karaoke,2400 MAH Battery, Digital Display,RGB Lights, USB, SD Card, FM Radio,Auto TWS Function & Remote",Krisons,1499,(70% off),3.9,2.9K,Audio,https://www.amazon.in/dp/B09RPC4J7K,bluetooth speakers
B0DY15J4X3,"XIAOMI Sound Outdoor Speaker (Blue) | |30W Hi-Quality Speaker with Mic|Upto 12hrs Playback Time|IP67 Waterproof & Type C|Wireless Stereo Pairing|Speaker for Home, Outdoor & Travel Purpose",XIAOMI,3499,(50% off),4.5,419,Audio,https://www.amazon.in/dp/B0DY15J4X3,bluetooth speakers
