asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term,value_score,device_type,is_wired,has_mic,cluster,segment
B0GPCXP9C8,tp troops neckband bluetooth headphones with 50 hours playtime with 10mm drivers rich music experience type c charging bluetooth 53 wireless inear earphones with mic voice assistant blue,tp,5.703782474656201,77.0,5.0,0.6931471805599453,audio,https://www.amazon.in/dp/B0GPCXP9C8,neckband,0.0167224080267558,neckband,0,1,0,High Rated
B0C9V3437T,portronics harmonics z7 bluetooth wireless in ear earphones with upto 40 hours playback 10mm dynamic driver gaming mode high bass ipx4 water and sweat resistant type c fast chargingblack,portronics,6.309918278226516,73.0,4.0,8.071218539969863,audio,https://www.amazon.in/dp/B0C9V3437T,neckband,0.0072859744990892,earphones,0,0,1,Popular
B0DTJ67BMY,ptron tangent evolve w 50hrs playtime hd mic pristine sound 14mm drivers bluetooth v53 wdualdevice pairing wireless neckband magnetic buds voice assistanttypec fast charging  ipx4black,ptron,6.214608098422191,75.0,3.8,7.0909098220799835,audio,https://www.amazon.in/dp/B0DTJ67BMY,neckband,0.0076152304609218,earbuds,0,1,1,Popular
B0FY3CNJCH,kratos black bluetooth neckband with 55 hrs playtime deep bass stereo sound hd calls magnetic earbuds voice assistant typec charging rich audio hollow switch for comfort  style,kratos,6.309918278226516,73.0,4.0,6.4457198193855785,audio,https://www.amazon.in/dp/B0FY3CNJCH,neckband,0.0072859744990892,earbuds,0,0,1,Popular
B0CRL8FP2T,boat rockerz 235 pro wireless bluetooth neckband in ear earphone upto 20 hrs of playtime beast mode low latency ipx5 water  sweat resistance enx technology bluetooth v52ash grey,boat,6.802394763324311,64.0,4.0,7.783640596221253,audio,https://www.amazon.in/dp/B0CRL8FP2T,neckband,0.0044493882091212,neckband,0,0,1,Popular
B0CMTWPKCJ,noise newly launched airwave bluetooth in ear neckband with 50h of playtime 3 eq modes enc for calling low latencyupto 50ms 10mm driver bt v53jet black,noise,6.907755278982137,60.0,3.8,9.841665338892785,audio,https://www.amazon.in/dp/B0CMTWPKCJ,neckband,0.0038038038038038,neckband,0,1,1,Popular
B0DBHDRFZ8,boat rockerz 150 pro bluetooth neckband in ear earphones w 150hrs playback dual eq modes crystal bionic sound by hifi dsp 5 aienx technology dual pairingbeast modeasap chargeblack,boat,6.907755278982137,75.0,3.7,8.188966863648876,audio,https://www.amazon.in/dp/B0DBHDRFZ8,neckband,0.0037037037037037,neckband,0,0,1,Popular
B0FN4GBF56,goboult newly launched eqcharge bluetooth earphones with 32h playtime zen enc mic dual device connectivity type c fast charging 142mm bass driver made in india jet black,goboult,6.684611727667927,82.0,3.9,6.4692503167957724,audio,https://www.amazon.in/dp/B0FN4GBF56,neckband,0.0048811013767209,earphones,0,1,1,Popular
B0FM2Y25HP,boat rockerz 301 anc 30db anc 13mm driversenx 40ms low latency hall switch stream ad free music via app support bluetooth neckband wireless with mic earphones green,boat,7.170119543449628,63.0,4.1,10.753659849198824,audio,https://www.amazon.in/dp/B0FM2Y25HP,neckband,0.0031562740569668,neckband,0,1,1,Popular
B0GMX184H9,original for oneplus wireless neckband z2 anc  advanced anc tuning crystal hd calling mic powerful bass engineering  instant charging support green 870542,original,7.090076835776092,45.0,1.0,1.791759469228055,audio,https://www.amazon.in/dp/B0GMX184H9,neckband,0.0008340283569641,neckband,0,1,3,Low Rated
B0D6YS7PL7,boat rockerz 255 z plusaienx techspatial audio50hrs batterylow latency modefast chargeapp supportipx4gfpsbt v53bluetooth neckbandwireless with mic in ear earphones pine green,boat,7.090076835776092,73.0,3.5,8.881975184248867,audio,https://www.amazon.in/dp/B0D6YS7PL7,neckband,0.0029190992493744,neckband,0,1,1,Popular
B0FLY5PJKT,bluetooth neckband headphones fast charge deep bass sweatproof sports magnetic long battery voice assistant support wireless inear headset with mic white glow,bluetooth,5.521460917862246,0.0,2.5,1.3862943611198906,audio,https://www.amazon.in/dp/B0FLY5PJKT,neckband,0.0100401606425702,neckband,0,1,3,Low Rated
B0GFN8B7DJ,kratos n4 grey with green bluetooth neckband with 52h playtime deep bass stereo sound hd calls magnetic earbuds typec fast charging rich audio hollow switch for comfort  style,kratos,6.309918278226516,63.0,4.0,6.4457198193855785,audio,https://www.amazon.in/dp/B0GFN8B7DJ,neckband,0.0072859744990892,earbuds,0,0,1,Popular
B0G2SPF2W1,kratos n1 neckband bluetooth headphones with 30 hours playtime with 13mm drivers rich music experience type c fast charging neckband earphones with voice assistant  ipx4 water resistant,kratos,5.921578419643816,69.0,4.1,5.4510384535657,audio,https://www.amazon.in/dp/B0G2SPF2W1,neckband,0.011021505376344,neckband,0,0,1,Popular
